договор	ТУ	район	наименование	Сеть
1155	211550001	null	Нежилое помещение (Радиоконтрольный пункт)	ЮЭС > ПС 110/35/10 "ЮГО-ВОСТОЧHАЯ" > ЛЭП-10кВ "ПТУ-1" > ТП - 204 > РУ-0,4 кВ > ф. "Гагарина 28 п. 1" > Гагарина 28
171	211719002	null	Перерасчет по 01710001: 01.2017:  400.00000	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-12" > ТП - 50 > РУ-0,4 кВ > Коммуны 5
171	211719003	null	Перерасчет по 01710001: 02.2017: -620.57000	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-12" > ТП - 50 > РУ-0,4 кВ > Коммуны 5
171	211719004	null	Перерасчет по 01710001: 02.2017:  400.00000	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-12" > ТП - 50 > РУ-0,4 кВ > Коммуны 5
171	211719005	null	Перерасчет по 01710001: 03.2017: -620.57000	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-12" > ТП - 50 > РУ-0,4 кВ > Коммуны 5
171	211719006	null	Перерасчет по 01710001: 03.2017:  400.00000	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-12" > ТП - 50 > РУ-0,4 кВ > Коммуны 5
171	211719007	null	Перерасчет по 01710001: 04.2017: -620.57000	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-12" > ТП - 50 > РУ-0,4 кВ > Коммуны 5
171	211719008	null	Перерасчет по 01710001: 04.2017:  400.00000	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-12" > ТП - 50 > РУ-0,4 кВ > Коммуны 5
171	211719009	null	Перерасчет по 01710001: 05.2017: -620.57000	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-12" > ТП - 50 > РУ-0,4 кВ > Коммуны 5
171	211719010	null	Перерасчет по 01710001: 05.2017:  400.00000	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-12" > ТП - 50 > РУ-0,4 кВ > Коммуны 5
171	211719011	null	Перерасчет по 01710001: 06.2017: -620.57000	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-12" > ТП - 50 > РУ-0,4 кВ > Коммуны 5
171	211719012	null	Перерасчет по 01710001: 06.2017:  400.00000	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-12" > ТП - 50 > РУ-0,4 кВ > Коммуны 5
